               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.032703,            0.027543,                   0,             0.89462,             0.92612,             0.94417,             0.49043,            0.036937,            0.022051,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.034106,             0.02886,                   0,             0.95565,             0.90909,             0.92912,             0.49914,            0.032969,             0.02162,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.031412,            0.028957,                   0,             0.92093,             0.92727,             0.92445,             0.49954,            0.035009,            0.021416,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.032805,            0.029172,                   0,             0.95618,             0.90909,             0.94066,             0.54561,            0.030595,            0.020807,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.031922,            0.026159,                   0,             0.79927,             0.14486,              0.3539,            0.084891,            0.058643,            0.055031,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.030936,             0.02883,                   0,             0.95155,             0.92727,             0.94405,             0.58827,             0.02974,            0.019646,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.033005,            0.029397,                   0,             0.79458,             0.35182,             0.58881,             0.23795,            0.048129,            0.043282,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.032987,            0.027585,                   0,             0.83921,             0.70909,             0.79616,             0.36219,             0.04182,              0.0322,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.029976,            0.026979,                   0,             0.96114,             0.89949,               0.949,             0.56651,            0.030372,            0.020634,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.031254,             0.02654,                   0,             0.79834,             0.52727,             0.58863,             0.27708,            0.042894,            0.035793,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.030481,            0.026355,                   0,             0.92203,             0.90909,             0.94987,             0.56217,            0.030907,            0.019323,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.031172,            0.030517,                   0,             0.95568,             0.89091,             0.92772,             0.52444,            0.033653,            0.020887,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.030968,            0.025693,                   0,              0.9241,             0.88552,             0.92246,             0.53553,            0.033264,            0.020761,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.030599,             0.02719,                   0,             0.88332,             0.87273,             0.91304,             0.48717,            0.033443,             0.02334,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.030409,            0.028018,                   0,             0.80932,             0.78182,              0.7981,             0.40451,            0.039818,            0.023758,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.031322,            0.025239,                   0,             0.94353,             0.91136,             0.92777,             0.52601,            0.031104,            0.020472,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.029249,            0.025511,                   0,             0.92381,             0.67273,             0.84458,             0.37611,            0.042976,             0.02969,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.031357,            0.028059,                   0,             0.82731,               0.784,             0.84972,             0.47509,            0.039076,            0.022533,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.030148,            0.025131,                   0,             0.88844,             0.72403,             0.79333,             0.37394,            0.042666,            0.026087,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.028815,             0.02614,                   0,             0.93692,             0.87273,             0.94393,             0.55497,            0.030918,            0.020563,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.028959,            0.024237,                   0,             0.93471,             0.72727,             0.81389,             0.36967,            0.042046,            0.027681,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.029942,            0.026589,                   0,             0.90726,             0.88937,             0.94245,             0.51164,            0.032673,            0.021011,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.030077,            0.025717,                   0,             0.95801,             0.82978,             0.89515,             0.42115,            0.038217,            0.024809,                   0,             0.00472,             0.00472,             0.00472
                 162,             0.02962,            0.027269,                   0,             0.93366,             0.81818,             0.85756,             0.46461,            0.034572,            0.025793,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.029706,            0.026583,                   0,             0.29474,             0.25455,             0.21004,            0.077606,            0.057276,            0.046093,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.028945,            0.027115,                   0,             0.86553,             0.81921,             0.91049,             0.51315,            0.034777,            0.021582,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.027035,            0.024465,                   0,             0.92286,             0.87014,              0.8956,             0.56808,            0.029354,            0.021446,                   0,            0.004588,            0.004588,            0.004588
