               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.020669,            0.017619,                   0,             0.92837,             0.94266,             0.96344,             0.74995,            0.020774,            0.015682,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.020794,            0.018499,                   0,             0.91366,             0.96206,             0.96098,             0.73716,            0.019995,            0.015875,                   0,            0.006172,            0.006172,            0.006172
                 118,             0.02118,            0.017181,                   0,             0.92742,             0.94545,             0.95111,               0.716,            0.021084,            0.016336,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.020731,            0.018029,                   0,             0.92685,             0.94545,             0.94285,             0.69866,            0.021928,            0.017021,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.022075,            0.015598,                   0,             0.92696,             0.92307,             0.93741,             0.71601,            0.021957,             0.01759,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.020075,            0.016633,                   0,             0.92844,             0.94362,             0.94535,             0.71498,            0.021504,            0.017061,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.020668,            0.019142,                   0,             0.92652,             0.94545,             0.94183,             0.74034,            0.020541,            0.016937,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.019868,            0.016889,                   0,              0.9117,             0.94545,             0.94135,               0.738,             0.02102,            0.016827,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.019779,            0.017654,                   0,             0.91076,             0.94545,             0.93877,             0.73593,            0.021566,            0.017145,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.020838,            0.018104,                   0,             0.91169,             0.94545,             0.92867,             0.72723,            0.021393,            0.017212,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.020971,            0.017212,                   0,             0.91144,             0.94545,             0.93919,             0.71793,            0.020502,            0.016638,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.020521,            0.016412,                   0,             0.89541,             0.94545,             0.94123,             0.72607,            0.021267,            0.016195,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.020646,            0.018171,                   0,             0.91367,             0.96211,               0.935,             0.70675,            0.020935,            0.016256,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.018542,            0.018074,                   0,              0.9109,             0.94545,             0.95094,             0.72569,            0.022129,            0.017082,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.020352,            0.015869,                   0,             0.90764,             0.94545,             0.94434,             0.75373,             0.01956,            0.015831,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.020011,            0.018049,                   0,             0.90141,             0.92727,             0.93547,             0.74837,            0.020692,            0.016813,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.019823,            0.016542,                   0,             0.91133,             0.94545,             0.95091,             0.72645,            0.020239,            0.016165,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.018973,            0.015453,                   0,             0.90902,             0.94545,             0.94846,             0.72074,            0.020907,            0.016724,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.019932,             0.01529,                   0,             0.92712,             0.92522,              0.9457,             0.70977,            0.021563,            0.016947,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.020098,            0.015915,                   0,             0.91194,             0.94153,             0.93897,             0.70757,            0.021231,            0.016848,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.018979,            0.016904,                   0,             0.91142,             0.94545,             0.95702,              0.7329,            0.020929,            0.016586,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.018969,            0.016781,                   0,             0.91212,             0.94358,             0.94429,             0.73812,            0.021606,            0.016895,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.019644,            0.017129,                   0,             0.91361,             0.96142,             0.94873,             0.72935,            0.020428,            0.016405,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.020395,            0.016465,                   0,             0.91124,             0.94545,             0.95117,             0.74723,             0.01956,            0.015907,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.019809,            0.016724,                   0,             0.90878,             0.94545,             0.92969,             0.73577,            0.019719,            0.016003,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.018264,            0.016902,                   0,             0.91082,             0.94545,             0.92732,             0.73292,            0.019722,            0.015911,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.019424,            0.017279,                   0,             0.91065,             0.94545,             0.93636,              0.7471,             0.01998,            0.016346,                   0,            0.005347,            0.005347,            0.005347
                 143,             0.01952,            0.015603,                   0,             0.91076,             0.94545,             0.94264,             0.73445,            0.020945,            0.016111,                   0,            0.005314,            0.005314,            0.005314
                 144,             0.01809,            0.016774,                   0,             0.91018,             0.94545,             0.94524,             0.75689,            0.019598,            0.015953,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.019106,            0.018352,                   0,             0.91119,             0.94545,             0.94317,             0.73268,            0.020733,            0.016335,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.020068,            0.016737,                   0,             0.91141,             0.94545,             0.92782,             0.73703,            0.019483,            0.016319,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.018032,            0.015434,                   0,             0.91117,             0.94545,              0.9473,             0.75421,            0.019779,            0.016211,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.018434,            0.015999,                   0,             0.91089,             0.94545,             0.95371,             0.73819,             0.01977,            0.016598,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.017753,            0.015357,                   0,             0.91154,             0.94545,             0.94658,             0.73774,            0.019786,            0.016586,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.017697,            0.017715,                   0,             0.91131,             0.94545,             0.94265,             0.74679,             0.02032,            0.016447,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.018383,            0.015296,                   0,             0.91125,             0.94545,             0.94724,             0.76418,            0.019031,            0.016832,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.018752,            0.016268,                   0,             0.91054,             0.94545,             0.94105,             0.73951,            0.019616,            0.017117,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.017991,            0.016657,                   0,             0.91103,             0.94545,             0.94134,             0.74227,            0.019521,            0.016628,                   0,            0.004984,            0.004984,            0.004984
                 154,             0.01762,            0.014707,                   0,             0.94412,             0.92167,             0.93731,             0.73093,            0.019832,            0.016512,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.016357,            0.015159,                   0,             0.93662,             0.92727,             0.93519,             0.73524,            0.019291,             0.01659,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.017342,            0.015911,                   0,             0.94508,             0.93875,             0.95053,             0.73945,            0.020033,            0.016714,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.017302,            0.014473,                   0,             0.92184,             0.94545,             0.93723,              0.7403,            0.019878,            0.016859,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.016907,            0.015299,                   0,             0.92836,             0.94545,             0.92605,             0.72579,            0.020002,            0.017529,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.016909,            0.014412,                   0,             0.91207,             0.94545,             0.93996,             0.74641,            0.019833,            0.017324,                   0,            0.004786,            0.004786,            0.004786
                 160,             0.01723,            0.015544,                   0,             0.89644,             0.94435,             0.94761,             0.74926,            0.019921,            0.017653,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.018677,            0.015804,                   0,             0.89629,             0.94279,             0.93729,             0.74818,            0.020345,            0.017847,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.018994,            0.016621,                   0,             0.89639,             0.94388,             0.93543,             0.76296,             0.02008,            0.017593,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.016967,            0.015251,                   0,             0.89639,             0.94382,             0.94169,             0.75169,            0.020505,            0.017591,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.017821,             0.01621,                   0,             0.92476,             0.90909,             0.95128,             0.75764,            0.020193,            0.017057,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.017443,            0.015265,                   0,             0.91964,             0.90909,             0.94035,             0.75714,            0.020499,            0.017202,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.017118,            0.016542,                   0,              0.9064,             0.92727,             0.94017,             0.75737,            0.019976,            0.017479,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.017028,            0.014802,                   0,             0.90933,             0.92727,             0.94164,             0.75355,            0.019267,            0.017317,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.017383,            0.015661,                   0,             0.93674,             0.90909,              0.9319,             0.74518,            0.020346,            0.017553,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.016446,            0.013612,                   0,             0.92997,             0.90909,              0.9314,             0.72789,            0.020328,             0.01767,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.015584,            0.015677,                   0,             0.91066,             0.92672,             0.93475,             0.72995,            0.019862,            0.017366,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.017537,            0.014952,                   0,             0.90912,             0.92727,             0.94498,             0.73233,            0.020633,             0.01753,                   0,             0.00439,             0.00439,             0.00439
